Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
17,CA-2023-100017,2023-01-24,2023-04-11,Second Class,CG-10456,Alice Ray,Corporate,South,TEC-9445,Technology,Machines,Machines Product 326,1454.65,3,0.2,430.69
18,CA-2023-100018,2023-02-02,2023-06-03,Same Day,CG-10445,John Smith,Consumer,South,TEC-7944,Furniture,Chairs,Chairs Product 497,1947.59,3,0.1,1189.86
19,CA-2023-100019,2023-12-27,2023-03-22,,CG-10022,Tom Wong,Home Office,West,TEC-6895,Technology,Copiers,Copiers Product 382,739.27,4,0.2,312.15
20,CA-2023-100020,2023-01-05,2023-12-16,First Class,CG-10004,Bob Lee,Consumer,South,TEC-9208,Office Supplies,Storage,Storage Product 271,1010.25,5,0.3,37.94
21,CA-2023-100021,2023-03-28,2023-01-20,First Class,CG-10253,Tom Wong,Home Office,East,TEC-4327,Furniture,Chairs,Chairs Product 422,1830.58,14,0.2,2574.93
22,CA-2023-100022,2023-03-08,2023-08-18,Same Day,CG-10431,Jane Doe,Home Office,Central,TEC-2409,Furniture,Chairs,Chairs Product 884,1872.95,10,0.1,3707.02
23,CA-2023-100023,2023-02-25,2023-08-13,,CG-10391,John Smith,Consumer,South,TEC-3368,Technology,Phones,Phones Product 875,1420.73,11,0.4,-1576.14
24,CA-2023-100024,2023-02-02,2023-07-22,First Class,CG-10153,Jane Doe,Home Office,West,TEC-2148,Furniture,Furnishings,Furnishings Product 249,1781.11,14,0.3,-33.84
25,CA-2023-100025,2023-12-05,2023-01-08,Second Class,CG-10060,Alice Ray,Consumer,Central,TEC-6315,Furniture,Tables,Tables Product 873,508.0,6,0.1,600.16
26,CA-2023-100026,2023-07-08,2023-04-16,Second Class,CG-10370,Alice Ray,Corporate,West,TEC-5752,Technology,Copiers,Copiers Product 219,828.59,4,0.2,353.22
27,CA-2023-100027,2023-05-01,2023-10-26,Second Class,CG-10239,Jane Doe,Corporate,West,TEC-1559,Office Supplies,Art,Art Product 700,1490.64,12,0.1,3587.64
28,CA-2023-100028,2023-06-23,2023-03-12,Standard Class,CG-10144,Bob Lee,Consumer,West,TEC-3744,Technology,Phones,Phones Product 384,1910.18,1,0.4,-173.7
29,CA-2023-100029,2023-04-01,2023-05-23,Standard Class,CG-10010,Tom Wong,Corporate,South,TEC-8390,Furniture,Furnishings,Furnishings Product 861,197.37,5,0.3,13.98
30,CA-2023-100030,2023-04-16,2023-08-16,First Class,CG-10258,John Smith,Home Office,South,TEC-2687,Office Supplies,Storage,Storage Product 789,1083.36,1,0.4,-96.34
31,CA-2023-100031,2023-01-01,2023-08-10,First Class,CG-10044,Tom Wong,Consumer,South,TEC-6726,Office Supplies,Binders,Binders Product 401,921.92,1,0.2,101.12
32,CA-2023-100032,2023-10-08,2023-10-10,Standard Class,CG-10418,Bob Lee,Consumer,Central,TEC-4267,Furniture,Chairs,Chairs Product 925,1240.33,3,0.0,1139.02
33,CA-2023-100033,2023-04-10,2023-05-09,Same Day,CG-10192,Bob Lee,Consumer,Central,TEC-5079,Technology,Accessories,Accessories Product 647,1873.93,13,0.3,8.97
34,CA-2023-100034,2023-12-17,2023-07-13,First Class,CG-10217,Bob Lee,Consumer,West,TEC-9787,Furniture,Chairs,Chairs Product 979,1165.28,7,0.4,-817.27
35,CA-2023-100035,2023-12-14,2023-04-19,Standard Class,CG-10367,Tom Wong,Consumer,Central,TEC-5491,Technology,Accessories,Accessories Product 124,1792.09,13,0.0,6980.93
36,CA-2023-100036,2023-07-13,2023-05-10,Standard Class,CG-10423,Jane Doe,Consumer,Central,TEC-6334,Office Supplies,Paper,Paper Product 832,1892.93,4,0.0,2291.2
37,CA-2023-100037,2023-06-07,2023-08-10,,CG-10434,Bob Lee,Corporate,West,TEC-2540,Office Supplies,Art,Art Product 128,1937.62,2,0.0,1174.85
38,CA-2023-100038,2023-01-22,2023-04-17,First Class,CG-10327,John Smith,Consumer,South,TEC-4141,Technology,Accessories,Accessories Product 351,1166.8,3,0.4,-322.88
39,CA-2023-100039,2023-03-13,2023-02-28,,CG-10058,Alice Ray,Consumer,Central,TEC-4072,Office Supplies,Art,Art Product 486,762.2,13,0.2,975.03
40,CA-2023-100040,2023-01-25,2023-08-01,Standard Class,CG-10117,Jane Doe,Consumer,South,TEC-7316,Technology,Copiers,Copiers Product 928,,14,0.3,
41,CA-2023-100041,2023-04-25,2023-02-15,Second Class,CG-10305,John Smith,Consumer,West,TEC-9053,Office Supplies,Paper,Paper Product 358,1850.04,6,0.3,1.95
42,CA-2023-100042,2023-08-28,2023-05-08,,CG-10348,Alice Ray,Corporate,,TEC-3745,Office Supplies,Labels,Labels Product 415,569.12,11,0.3,-15.46
43,CA-2023-100043,2023-04-13,2023-12-16,Second Class,CG-10397,Bob Lee,Consumer,West,TEC-6713,Furniture,Furnishings,Furnishings Product 982,727.09,12,0.3,-38.25
44,CA-2023-100044,2023-11-13,2023-05-23,Same Day,CG-10289,John Smith,Corporate,South,TEC-8449,Technology,Machines,Machines Product 162,842.3,9,0.1,1523.39
45,CA-2023-100045,2023-05-05,2023-06-03,Second Class,CG-10023,Tom Wong,Consumer,East,TEC-5809,Technology,Accessories,Accessories Product 557,1685.82,11,0.4,-1850.03
46,CA-2023-100046,2023-03-13,2023-04-01,Second Class,CG-10488,Jane Doe,Home Office,South,TEC-1249,Office Supplies,Labels,Labels Product 773,906.58,5,0.0,1350.18
47,CA-2023-100047,2023-07-15,2023-05-21,Standard Class,CG-10066,Bob Lee,Home Office,Central,TEC-7881,Furniture,Tables,Tables Product 905,1045.13,3,0.3,-11.27
48,CA-2023-100048,2023-03-02,2023-04-25,Standard Class,CG-10481,Alice Ray,Corporate,Central,TEC-4177,Furniture,Tables,Tables Product 662,790.57,2,0.2,208.9
49,CA-2023-100049,2023-08-05,2023-02-06,Second Class,CG-10450,Tom Wong,Corporate,Central,TEC-2906,Technology,Phones,Phones Product 210,302.68,13,0.0,1146.38
50,CA-2023-100050,2023-06-16,2023-08-04,Same Day,CG-10388,John Smith,Home Office,South,TEC-4266,Technology,Machines,Machines Product 766,1173.68,7,0.2,820.47
51,CA-2023-100051,2023-05-06,2023-01-05,Second Class,CG-10012,Jane Doe,Corporate,West,TEC-8240,Technology,Copiers,Copiers Product 893,1207.85,2,0.2,225.26
52,CA-2023-100052,2023-01-26,2023-04-01,Same Day,CG-10113,Bob Lee,Consumer,South,TEC-1302,Technology,Machines,Machines Product 738,,9,0.2,1229.64
53,CA-2023-100053,2023-07-14,2023-11-15,Same Day,CG-10493,Jane Doe,Corporate,West,TEC-7882,Furniture,Tables,Tables Product 982,1522.31,10,0.1,3061.65
54,CA-2023-100054,2023-07-25,2023-01-07,Standard Class,CG-10474,Alice Ray,Consumer,East,TEC-4596,Office Supplies,Labels,Labels Product 311,760.8,7,0.1,1045.36
55,CA-2023-100055,2023-06-02,2023-08-08,Second Class,CG-10236,Bob Lee,Corporate,East,TEC-3739,Technology,Copiers,Copiers Product 381,1580.45,10,0.4,-1528.98
56,CA-2023-100056,2023-09-01,2023-05-22,Second Class,CG-10198,Alice Ray,Corporate,Central,TEC-4517,Furniture,Bookcases,Bookcases Product 929,1001.51,8,0.4,-813.69
57,CA-2023-100057,2023-04-24,2023-06-02,Same Day,CG-10220,Bob Lee,Home Office,West,TEC-1117,Furniture,Bookcases,Bookcases Product 980,1794.56,8,0.2,1385.59
58,CA-2023-100058,2023-02-15,2023-11-08,Standard Class,CG-10435,Tom Wong,Consumer,West,TEC-9915,Furniture,Furnishings,Furnishings Product 324,1340.6,6,0.0,
59,CA-2023-100059,2023-11-03,2023-01-06,Standard Class,CG-10010,Tom Wong,Home Office,West,TEC-3219,Technology,Copiers,Copiers Product 997,1225.13,1,0.4,-107.23
60,CA-2023-100060,2023-09-17,2023-09-11,First Class,CG-10408,Bob Lee,Corporate,Central,TEC-8984,Technology,Copiers,Copiers Product 680,184.86,2,0.4,-36.76
61,CA-2023-100061,2023-12-03,2023-03-01,Same Day,CG-10320,Alice Ray,Consumer,South,TEC-7413,Furniture,Furnishings,Furnishings Product 927,822.95,12,0.4,-984.15
62,CA-2023-100062,2023-11-14,2023-10-04,Second Class,CG-10237,Jane Doe,Consumer,West,TEC-7943,Furniture,Bookcases,Bookcases Product 790,380.95,5,0.2,192.26
63,CA-2023-100063,2023-07-02,2023-05-08,Same Day,CG-10435,Bob Lee,Corporate,West,TEC-2202,Technology,Accessories,Accessories Product 653,1497.74,1,0.0,455.86
64,CA-2023-100064,2023-04-06,2023-09-01,Second Class,CG-10485,Bob Lee,Home Office,East,TEC-6373,Office Supplies,Paper,Paper Product 295,1071.59,1,0.2,102.78
65,CA-2023-100065,2023-04-13,2023-08-20,Same Day,CG-10015,Tom Wong,Consumer,East,TEC-3371,Furniture,Tables,Tables Product 943,993.02,10,0.1,2006.79
66,CA-2023-100066,2023-04-04,2023-10-11,First Class,CG-10069,Alice Ray,Home Office,West,TEC-7166,Technology,Accessories,Accessories Product 914,1285.88,11,0.2,1404.27
67,CA-2023-100067,2023-11-12,2023-12-04,Same Day,CG-10324,Tom Wong,Consumer,South,TEC-1126,Furniture,Tables,Tables Product 205,315.17,11,0.4,-329.33
68,CA-2023-100068,2023-08-09,2023-06-11,First Class,CG-10257,Tom Wong,Consumer,West,TEC-2645,Technology,Copiers,Copiers Product 519,147.15,10,0.2,128.42
69,CA-2023-100069,2023-09-21,2023-09-10,Same Day,CG-10313,Tom Wong,Corporate,East,TEC-8970,Furniture,Bookcases,Bookcases Product 674,670.97,9,0.2,570.02
70,CA-2023-100070,2023-11-02,2023-11-17,Same Day,CG-10427,Bob Lee,Home Office,Central,TEC-2205,Technology,Accessories,Accessories Product 763,1846.69,11,0.1,4093.31
71,CA-2023-100071,2023-06-26,2023-12-18,Second Class,CG-10049,John Smith,Consumer,East,TEC-5243,Technology,Machines,Machines Product 729,843.66,4,0.0,1034.0
72,CA-2023-100072,2023-07-19,2023-11-24,First Class,CG-10318,Tom Wong,Consumer,East,TEC-9477,Furniture,Furnishings,Furnishings Product 243,377.08,13,0.0,1433.71
73,CA-2023-100073,2023-02-06,2023-03-04,Second Class,CG-10264,Tom Wong,Home Office,Central,TEC-5873,Office Supplies,Storage,Storage Product 557,1553.3,1,0.1,
74,CA-2023-100074,2023-02-07,2023-08-01,Second Class,CG-10247,Bob Lee,Home Office,Central,TEC-9519,Office Supplies,Storage,Storage Product 153,1603.49,12,0.3,21.83
75,CA-2023-100075,2023-03-24,2023-08-14,First Class,CG-10400,Alice Ray,Consumer,West,TEC-7612,Technology,Machines,Machines Product 834,365.3,5,0.0,582.28
76,CA-2023-100076,2023-07-21,2023-03-16,Second Class,CG-10403,Alice Ray,Consumer,South,TEC-5177,Office Supplies,Storage,Storage Product 613,1270.15,7,0.0,2676.13
77,CA-2023-100077,2023-07-12,2023-04-05,Second Class,CG-10422,John Smith,Corporate,East,TEC-8083,Technology,Machines,Machines Product 966,690.22,5,0.1,681.05
78,CA-2023-100078,2023-08-27,2023-07-17,Standard Class,CG-10115,John Smith,Corporate,East,TEC-3599,Furniture,Tables,Tables Product 336,288.83,12,0.1,714.96
79,CA-2023-100079,2023-02-23,2023-05-11,Standard Class,CG-10146,Tom Wong,Corporate,South,TEC-9232,Technology,Machines,Machines Product 133,287.32,9,0.2,237.7
80,CA-2023-100080,2023-07-21,2023-10-22,Second Class,CG-10027,John Smith,Home Office,West,TEC-5263,Technology,Phones,Phones Product 709,999.96,9,0.3,-4.45
81,CA-2023-100081,2023-10-14,2023-02-28,Standard Class,CG-10363,John Smith,Home Office,East,TEC-6490,Technology,Phones,Phones Product 893,358.99,5,0.4,-185.96
82,CA-2023-100082,2023-01-27,2023-07-08,First Class,CG-10310,Jane Doe,Home Office,Central,TEC-3711,Technology,Phones,Phones Product 857,584.5,11,0.3,22.86
83,CA-2023-100083,2023-04-11,2023-01-27,Second Class,CG-10491,Jane Doe,Consumer,West,TEC-8617,Furniture,Chairs,Chairs Product 600,437.73,8,0.3,-24.64
84,CA-2023-100084,2023-11-08,2023-10-25,First Class,CG-10291,Bob Lee,Corporate,East,TEC-5203,Technology,Phones,Phones Product 271,1459.1,8,0.0,3504.74
85,CA-2023-100085,2023-01-15,2023-12-16,Same Day,CG-10339,Tom Wong,Consumer,Central,TEC-6604,Office Supplies,Storage,Storage Product 473,728.34,12,0.3,13.27
86,CA-2023-100086,2023-11-26,2023-09-13,Standard Class,CG-10047,Jane Doe,Home Office,East,TEC-6913,Furniture,Furnishings,Furnishings Product 185,1807.69,9,0.3,20.2
87,CA-2023-100087,2023-11-23,2023-02-20,First Class,CG-10483,Jane Doe,Home Office,West,TEC-1614,Furniture,Bookcases,Bookcases Product 372,249.84,14,0.0,1045.47
88,CA-2023-100088,2023-02-03,2023-05-11,Same Day,CG-10474,Alice Ray,Home Office,Central,TEC-7640,Furniture,Bookcases,Bookcases Product 615,467.72,8,0.3,-3.08
89,CA-2023-100089,2023-02-23,2023-03-10,Standard Class,CG-10414,Bob Lee,Home Office,East,TEC-4810,Technology,Accessories,Accessories Product 990,1478.33,9,0.0,3996.83
90,CA-2023-100090,2023-05-12,2023-09-16,Same Day,CG-10236,John Smith,Corporate,West,TEC-1920,Office Supplies,Binders,Binders Product 458,1536.7,13,0.4,-1979.92
91,CA-2023-100091,2023-04-18,2023-05-25,Same Day,CG-10193,Tom Wong,Corporate,Central,TEC-3632,Technology,Phones,Phones Product 498,16.66,14,0.4,-50.21
92,CA-2023-100092,2023-10-05,2023-05-11,Same Day,CG-10198,Bob Lee,Corporate,,TEC-8878,Technology,Phones,Phones Product 663,,8,0.2,
93,CA-2023-100093,2023-09-17,2023-10-03,Same Day,CG-10262,Tom Wong,Consumer,West,TEC-8214,Office Supplies,Binders,Binders Product 826,1302.8,13,0.4,-1696.2
94,CA-2023-100094,2023-11-10,2023-03-18,Standard Class,CG-10062,John Smith,Home Office,South,TEC-8906,Technology,Phones,Phones Product 880,1198.58,3,0.0,1068.7
95,CA-2023-100095,2023-09-03,2023-09-02,Same Day,CG-10170,John Smith,Home Office,South,TEC-1954,Technology,Machines,Machines Product 325,1189.95,9,0.4,-1083.21
96,CA-2023-100096,2023-06-05,2023-12-16,Second Class,CG-10284,Tom Wong,Consumer,East,TEC-6233,Office Supplies,Art,Art Product 139,107.08,5,0.1,99.33
97,CA-2023-100097,2023-08-27,2023-01-06,Same Day,CG-10147,Alice Ray,Consumer,Central,TEC-2704,Technology,Copiers,Copiers Product 880,1188.89,14,0.1,3366.19
98,CA-2023-100098,2023-11-06,2023-12-07,Second Class,CG-10235,Tom Wong,Corporate,East,TEC-6150,Office Supplies,Paper,Paper Product 634,1860.88,9,0.3,16.41
99,CA-2023-100099,2023-12-07,2023-02-13,Standard Class,CG-10155,John Smith,Consumer,East,TEC-8009,Furniture,Tables,Tables Product 799,464.96,11,0.1,1031.28
100,CA-2023-100100,2023-09-02,2023-12-28,First Class,CG-10222,Tom Wong,Consumer,West,TEC-8059,Technology,Machines,Machines Product 963,573.85,6,0.1,696.63
101,CA-2023-100101,2023-01-22,2023-10-24,First Class,CG-10210,Jane Doe,Corporate,South,TEC-1686,Furniture,Furnishings,Furnishings Product 384,341.09,11,0.3,2.66
102,CA-2023-100102,2023-11-01,2023-06-15,First Class,CG-10416,Bob Lee,Home Office,West,TEC-4356,Office Supplies,Art,Art Product 615,1518.94,4,0.4,-621.58
103,CA-2023-100103,2023-02-15,2023-04-22,First Class,CG-10027,Bob Lee,Consumer,West,TEC-1988,Technology,Machines,Machines Product 120,1709.88,13,0.4,-2243.27
104,CA-2023-100104,2023-09-05,2023-03-27,Second Class,CG-10058,Alice Ray,Corporate,Central,TEC-2980,Office Supplies,Paper,Paper Product 262,1929.4,11,0.2,2136.51
105,CA-2023-100105,2023-09-17,2023-05-08,First Class,CG-10027,Jane Doe,Home Office,Central,TEC-1959,Technology,Phones,Phones Product 792,743.37,8,0.3,10.11
106,CA-2023-100106,2023-07-17,2023-12-20,Same Day,CG-10009,John Smith,Home Office,West,TEC-6109,Furniture,Bookcases,Bookcases Product 600,1595.11,4,0.0,
107,CA-2023-100107,2023-02-14,2023-06-11,Second Class,CG-10217,John Smith,Corporate,East,TEC-1778,Technology,Accessories,Accessories Product 313,872.16,8,0.4,-700.11
108,CA-2023-100108,2023-04-01,2023-10-08,Same Day,CG-10242,Alice Ray,Consumer,West,TEC-7368,Office Supplies,Labels,Labels Product 900,214.56,1,0.3,-23.56
109,CA-2023-100109,2023-06-07,2023-10-14,Standard Class,CG-10498,Jane Doe,Corporate,Central,TEC-9619,Technology,Phones,Phones Product 404,76.07,14,0.3,-27.71
110,CA-2023-100110,2023-06-09,2023-07-09,Standard Class,CG-10204,Jane Doe,Corporate,South,TEC-9442,Office Supplies,Paper,Paper Product 482,1793.48,3,0.0,1591.99
111,CA-2023-100111,2023-09-28,2023-10-14,First Class,CG-10466,Alice Ray,Home Office,South,TEC-2560,Office Supplies,Art,Art Product 400,1110.47,4,0.1,886.36
112,CA-2023-100112,2023-08-23,2023-05-23,Same Day,CG-10307,Alice Ray,Corporate,West,TEC-8057,Office Supplies,Storage,Storage Product 822,1951.97,3,0.3,29.97
113,CA-2023-100113,2023-06-15,2023-01-07,Same Day,CG-10305,Tom Wong,Home Office,West,TEC-1956,Furniture,Chairs,Chairs Product 123,1949.84,8,0.2,1556.36
114,CA-2023-100114,2023-12-24,2023-02-17,First Class,CG-10096,John Smith,Corporate,East,TEC-6631,Technology,Copiers,Copiers Product 839,748.37,12,0.3,-15.19
115,CA-2023-100115,2023-02-08,2023-05-15,Second Class,CG-10355,Jane Doe,Corporate,Central,TEC-1525,Furniture,Bookcases,Bookcases Product 433,1587.98,2,0.1,609.65
116,CA-2023-100116,2023-09-22,2023-12-15,Standard Class,CG-10231,John Smith,Corporate,Central,TEC-4216,Furniture,Bookcases,Bookcases Product 990,1710.23,5,0.4,-886.09
117,CA-2023-100117,2023-12-24,2023-04-13,First Class,CG-10303,Bob Lee,Corporate,Central,TEC-1629,Technology,Phones,Phones Product 369,523.69,12,0.4,-628.09
118,CA-2023-100118,2023-01-05,2023-04-08,First Class,CG-10460,John Smith,Consumer,South,TEC-8029,Furniture,Chairs,Chairs Product 383,1342.09,10,0.0,4024.39
119,CA-2023-100119,2023-12-24,2023-12-15,First Class,CG-10390,Alice Ray,Home Office,East,TEC-2939,Technology,Machines,Machines Product 981,719.9,5,0.3,24.29
120,CA-2023-100120,2023-10-01,2023-07-03,Standard Class,CG-10485,Tom Wong,Home Office,,TEC-2229,Furniture,Tables,Tables Product 111,1067.03,9,0.3,-1.79
121,CA-2023-100121,2023-08-15,2023-11-18,,CG-10428,Alice Ray,Home Office,South,TEC-6757,Furniture,Furnishings,Furnishings Product 912,,5,0.2,500.83
122,CA-2023-100122,2023-05-01,2023-07-08,Second Class,CG-10352,Tom Wong,Home Office,West,TEC-2198,Furniture,Tables,Tables Product 901,1350.13,12,0.1,3247.24
123,CA-2023-100123,2023-01-12,2023-11-08,Second Class,CG-10302,Alice Ray,Consumer,East,TEC-4124,Technology,Machines,Machines Product 403,1889.78,7,0.1,2649.37
124,CA-2023-100124,2023-02-06,2023-09-01,Second Class,CG-10089,Tom Wong,Consumer,East,TEC-4230,Technology,Phones,Phones Product 588,703.66,10,0.1,1410.66
125,CA-2023-100125,2023-02-13,2023-09-23,First Class,CG-10365,Bob Lee,Consumer,South,TEC-9189,Office Supplies,Binders,Binders Product 921,814.24,2,0.3,20.94
126,CA-2023-100126,2023-10-07,2023-05-19,Same Day,CG-10093,John Smith,Consumer,East,TEC-9927,Office Supplies,Labels,Labels Product 596,655.93,5,0.3,11.4
127,CA-2023-100127,2023-02-14,2023-09-03,Second Class,CG-10282,Jane Doe,Corporate,South,TEC-2177,Office Supplies,Binders,Binders Product 764,155.66,6,0.2,102.42
128,CA-2023-100128,2023-11-16,2023-07-06,Standard Class,CG-10498,Alice Ray,Home Office,Central,TEC-9212,Technology,Accessories,Accessories Product 506,499.68,5,0.3,-20.98
129,CA-2023-100129,2023-02-14,2023-04-16,Second Class,CG-10052,Bob Lee,Consumer,Central,TEC-8311,Office Supplies,Paper,Paper Product 205,1909.77,12,0.3,-3.78
130,CA-2023-100130,2023-10-25,2023-11-07,First Class,CG-10108,Jane Doe,Home Office,East,TEC-4654,Furniture,Tables,Tables Product 411,552.52,2,0.3,11.06
131,CA-2023-100131,2023-06-01,2023-12-24,Second Class,CG-10362,Bob Lee,Consumer,Central,TEC-8285,Technology,Accessories,Accessories Product 376,520.56,13,0.3,-16.45
132,CA-2023-100132,2023-08-26,2023-09-10,Same Day,CG-10152,John Smith,Corporate,Central,TEC-2316,Furniture,Furnishings,Furnishings Product 679,1589.55,9,0.1,2858.18
133,CA-2023-100133,2023-10-01,2023-07-18,Second Class,CG-10175,John Smith,Home Office,,TEC-2249,Furniture,Furnishings,Furnishings Product 772,1703.84,3,0.1,1034.04
134,CA-2023-100134,2023-03-28,2023-07-11,Standard Class,CG-10457,Tom Wong,Consumer,East,TEC-8421,Office Supplies,Paper,Paper Product 869,365.11,1,0.4,-22.89
135,CA-2023-100135,2023-07-24,2023-12-14,First Class,CG-10068,Jane Doe,Corporate,West,TEC-7764,Office Supplies,Paper,Paper Product 135,814.59,2,0.4,-143.39
136,CA-2023-100136,2023-11-06,2023-09-07,Same Day,CG-10269,John Smith,Corporate,South,TEC-3475,Technology,Phones,Phones Product 638,391.82,4,0.0,492.26
137,CA-2023-100137,2023-03-22,2023-06-02,First Class,CG-10172,Jane Doe,Corporate,East,TEC-4874,Technology,Copiers,Copiers Product 453,1189.7,6,0.2,673.95
138,CA-2023-100138,2023-04-05,2023-09-23,Same Day,CG-10106,John Smith,Home Office,South,TEC-4083,Office Supplies,Binders,Binders Product 756,1165.15,8,0.1,1871.72
139,CA-2023-100139,2023-01-25,2023-05-20,Standard Class,CG-10406,Jane Doe,Home Office,South,TEC-6280,Office Supplies,Paper,Paper Product 883,804.64,7,0.4,
140,CA-2023-100140,2023-01-23,2023-02-13,Standard Class,CG-10361,Tom Wong,Corporate,Central,TEC-3496,Furniture,Furnishings,Furnishings Product 942,135.59,2,0.3,15.28
141,CA-2023-100141,2023-12-05,2023-04-10,Same Day,CG-10239,John Smith,Corporate,West,TEC-9785,Office Supplies,Binders,Binders Product 528,899.93,14,0.3,7.31
142,CA-2023-100142,2023-07-20,2023-09-15,Second Class,CG-10163,Jane Doe,Home Office,West,TEC-3978,Office Supplies,Storage,Storage Product 565,1445.63,14,0.2,2051.92
143,CA-2023-100143,2023-01-04,2023-01-14,Same Day,CG-10310,Tom Wong,Home Office,Central,TEC-2960,Furniture,Furnishings,Furnishings Product 124,1285.53,2,0.0,756.87
144,CA-2023-100144,2023-04-25,2023-04-13,Same Day,CG-10012,Alice Ray,Consumer,Central,TEC-1845,Technology,Phones,Phones Product 631,145.66,2,0.1,
145,CA-2023-100145,2023-07-19,2023-03-05,First Class,CG-10418,Jane Doe,Consumer,West,TEC-7525,Furniture,Chairs,Chairs Product 878,1704.38,12,0.4,-2044.27
146,CA-2023-100146,2023-09-03,2023-05-09,Same Day,CG-10190,Bob Lee,Home Office,South,TEC-9591,Furniture,Chairs,Chairs Product 863,601.74,8,0.2,476.78
147,CA-2023-100147,2023-04-04,2023-12-06,First Class,CG-10178,Tom Wong,Home Office,West,TEC-1767,Technology,Copiers,Copiers Product 582,1993.43,4,0.0,2377.46
148,CA-2023-100148,2023-06-05,2023-07-02,Standard Class,CG-10219,Tom Wong,Corporate,West,TEC-8758,Office Supplies,Art,Art Product 760,968.45,12,0.4,-1176.17
149,CA-2023-100149,2023-12-11,2023-05-20,Same Day,CG-10183,Tom Wong,Corporate,West,TEC-6827,Furniture,Bookcases,Bookcases Product 645,387.49,10,0.4,-407.37
150,CA-2023-100150,2023-06-10,2023-05-10,Second Class,CG-10113,John Smith,Consumer,,TEC-1392,Furniture,Furnishings,Furnishings Product 524,758.02,3,0.3,-0.62
151,CA-2023-100151,2023-11-23,2023-02-08,First Class,CG-10214,John Smith,Home Office,East,TEC-8099,Technology,Accessories,Accessories Product 954,162.07,12,0.0,581.69
152,CA-2023-100152,2023-07-05,2023-08-13,Same Day,CG-10087,Bob Lee,Consumer,East,TEC-9599,Technology,Machines,Machines Product 582,1477.49,5,0.0,2234.66
153,CA-2023-100153,2023-04-15,2023-03-07,First Class,CG-10028,Bob Lee,Home Office,West,TEC-9964,Technology,Phones,Phones Product 449,1477.64,4,0.1,1186.83
154,CA-2023-100154,2023-01-08,2023-08-25,Second Class,CG-10450,Jane Doe,Home Office,East,TEC-2827,Furniture,Furnishings,Furnishings Product 481,537.44,8,0.3,-0.36
